MatrixName,Implementation, Node, Cores, Memory, ExecutionTime_s,Rows_A,Cols_A,NNZ_A,GFLOPS
webbase-1M, 1, 05, 1, 32, 9.78267, 1632803, 1632803, 30622564, 0.010449498143144971
webbase-1M, 1, 05, 2, 32, 9.80423, 1632803, 1632803, 30622564, 0.010426519165707046
webbase-1M, 1, 05, 4, 32, 6.60307, 1632803, 1632803, 30622564, 0.0154812824943549
webbase-1M, 1, 05, 8, 32, 6.42124, 1632803, 1632803, 30622564, 0.015919665360584558
webbase-1M, 1, 05, 16, 32, 4.89315, 1632803, 1632803, 30622564, 0.02089124429048772
webbase-1M, 1, 05, 24, 32, 5.97272, 1632803, 1632803, 30622564, 0.01711514887689361
